15
"TFE","TFE     ","Training Fee                                      "
"HFO","HFO     ","$/bbl Hydrocarbon Support Fund - Oil              "
"HFC","HFC     ","$/bbl Hydrocarbon Support Fund - Condensate       "
"HFG","HFG     ","$/bbl Hydrocarbon Support Fund - Non-Assoc Gas    "
"HFA","HFA     ","$/bbl Hydrocarbon Support Fund - Assoc Gas        "
"HF1","HF1     ","Total $/bbl Hydrocarbon Support Fund              "
"HF2","HF2     ","Hydrocarbon Support Fund - Annual Amount          "
"ROY","ROY     ","Royalty                                           "
"CLG","CLG     ","Cost Recovery Ceiling                             "
"RCC","RCC     ","Recoverable Capital Costs                         "
"ROF","ROF     ","Recoverable Operating Costs, Fee, Fund            "
"TRC","TRC     ","Total Recoverable Costs (ROC + ROF)               "
"UCR","UCR     ","Unused Cost Recovery                              "
"CRC","CRC     ","Cost Recovery Taken                               "
"PFT","PFT     ","Profit Share                                      "
