1,2009,0,8,36,"FIELD GROSS INCOME",10,0,0,"USA"
"OILPROD"," OILPRC"," OILREV","GASPROD"," GASPRC"," GASREV","OV1PROD"," OV1PRC"," OV1REV","OV2PROD"," OV2PRC"," OV2REV","OV3PROD"," OV3PRC"," OV3REV","OV4PROD"," OV4PRC"," OV4REV","OV5PROD"," OV5PRC"," OV5REV","OV6PROD"," OV6PRC"," OV6REV","OV7PROD"," OV7PRC"," OV7REV","OV8PROD"," OV8PRC"," OV8REV","OV9PROD"," OV9PRC"," OV9REV","OV0PROD"," OV0PRC"," OV0REV"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,60,300,.000001,2,.000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,60,600,.000002,2,.000004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,60,900,.000003,2,.000006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,60,600,.000002,2,.000004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,60,300,.000001,2,.000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,60,120,.0000005,2,.000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2009,0,8,25,"EQUIVALENT INCOME AND OPERATING EXPENSES",10,0,0,"USA"
"EQUPRODVOL","EQUPROD"," EQUPRC"," EQUREV","    OX1","    OX2","    OX3","    OX4","    OX5","    OX6","    OX7","    OX8","    OX9","    OX0","    O11","    O12","    O13","    O14","    O15","    O16","    O17","    O18","    O19","    O20","TOTOPEX"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,5,60,300,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
10,10,60,600,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40
15,15,60,900,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60
10,10,60,600,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40
5,5,60,300,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
2,2,60,120,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
3,2009,0,8,6,"EXPLORATION CAPITAL",10,0,0,"USA"
"    GEO","    EDH","    EDS","    ADH","    ASC"," TOTEXP"
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
4,2009,0,8,7,"DEVELOPMENT CAPITAL",10,0,0,"USA"
"    DNP","    DVP","    PLF","    FCL","    TRN","    EOR"," TOTDEV"
0,5,0,0,0,0,5
0,5,0,0,0,0,5
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
5,2009,0,8,20,"TOTAL CAPITAL EXPENDITURES",10,0,0,"USA"
"SIGBONS","DISBONS","PROBONS","    BNS","    LSE","    REN"," TOTEXP"," TOTDEV","    CP1","    CP2","    CP3","    CP4","    CP5","    CP6","    CP7","    CP8","    CP9","    ABN","    AB1"," TOTCAP"
3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,8
0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2009,0,8,5,"GROUP EXPENDITURES",10,0,.05,"USA"
" GRPREN"," GRPEXP"," GRPDEV"," GRPOTH"," GRPTOT"
3,0,5,0,8
0,0,5,0,5
1,0,0,0,1
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
12,2009,1,8,15,"TFE",8,0,.05,"USA"
" PROD"," PRIC","  INC","  ","  ","  ","  ","  "," DEDT"," INDE"," RATE"," GROS","  LCF","  NET","LCFCLNG"
0,0,1,0,0,0,0,0,0,1,5,.05,0,.05,0
0,0,1,0,0,0,0,0,0,1,5,.05,0,.05,0
0,0,1,0,0,0,0,0,0,1,15,.15,0,.15,0
0,0,1,0,0,0,0,0,0,1,15,.15,0,.15,0
0,0,1,0,0,0,0,0,0,1,15,.15,0,.15,0
0,0,1,0,0,0,0,0,0,1,15,.15,0,.15,0
0,0,1,0,0,0,0,0,0,1,15,.15,0,.15,0
0,0,1,0,0,0,0,0,0,1,15,.15,0,.15,0
12,2009,2,8,15,"HFO",8,0,.05,"USA"
" PROD"," PRIC","  INC","  ","  ","  ","  ","  "," DEDT"," INDE"," RATE"," GROS","  LCF","  NET","LCFCLNG"
0,.05,0,0,0,0,0,0,0,0,100,0,0,0,0
0,.05,0,0,0,0,0,0,0,0,100,0,0,0,0
5,.05,.25,0,0,0,0,0,0,.25,100,.25,0,.25,0
10,.05,.5,0,0,0,0,0,0,.5,100,.5,0,.5,0
15,.05,.75,0,0,0,0,0,0,.75,100,.75,0,.75,0
10,.05,.5,0,0,0,0,0,0,.5,100,.5,0,.5,0
5,.05,.25,0,0,0,0,0,0,.25,100,.25,0,.25,0
2,.05,.1,0,0,0,0,0,0,.1,100,.1,0,.1,0
12,2009,3,8,15,"HFC",8,0,.05,"USA"
" PROD"," PRIC","  INC","  ","  ","  ","  ","  "," DEDT"," INDE"," RATE"," GROS","  LCF","  NET","LCFCLNG"
0,0,0,0,0,0,0,0,0,0,100,0,0,0,0
0,0,0,0,0,0,0,0,0,0,100,0,0,0,0
0,60,0,0,0,0,0,0,0,0,100,0,0,0,0
0,60,0,0,0,0,0,0,0,0,100,0,0,0,0
0,60,0,0,0,0,0,0,0,0,100,0,0,0,0
0,60,0,0,0,0,0,0,0,0,100,0,0,0,0
0,60,0,0,0,0,0,0,0,0,100,0,0,0,0
0,60,0,0,0,0,0,0,0,0,100,0,0,0,0
12,2009,4,8,15,"HFG",8,0,.05,"USA"
" PROD"," PRIC","  INC","  ","  ","  ","  ","  "," DEDT"," INDE"," RATE"," GROS","  LCF","  NET","LCFCLNG"
0,0,0,0,0,0,0,0,0,0,100,0,0,0,0
0,0,0,0,0,0,0,0,0,0,100,0,0,0,0
1.333333E-10,60,8.000001E-09,0,0,0,0,0,0,8.000001E-09,100,8.000001E-09,0,8.000001E-09,0
2.666667E-10,60,1.6E-08,0,0,0,0,0,0,1.6E-08,100,1.6E-08,0,1.6E-08,0
4E-10,60,2.4E-08,0,0,0,0,0,0,2.4E-08,100,2.4E-08,0,2.4E-08,0
2.666667E-10,60,1.6E-08,0,0,0,0,0,0,1.6E-08,100,1.6E-08,0,1.6E-08,0
1.333333E-10,60,8.000001E-09,0,0,0,0,0,0,8.000001E-09,100,8.000001E-09,0,8.000001E-09,0
6.666667E-11,60,4E-09,0,0,0,0,0,0,4E-09,100,4E-09,0,4E-09,0
12,2009,5,8,15,"HFA",8,0,.05,"USA"
" PROD"," PRIC","  INC","  ","  ","  ","  ","  "," DEDT"," INDE"," RATE"," GROS","  LCF","  NET","LCFCLNG"
0,0,0,0,0,0,0,0,0,0,100,0,0,0,0
0,0,0,0,0,0,0,0,0,0,100,0,0,0,0
0,60,0,0,0,0,0,0,0,0,100,0,0,0,0
0,60,0,0,0,0,0,0,0,0,100,0,0,0,0
0,60,0,0,0,0,0,0,0,0,100,0,0,0,0
0,60,0,0,0,0,0,0,0,0,100,0,0,0,0
0,60,0,0,0,0,0,0,0,0,100,0,0,0,0
0,60,0,0,0,0,0,0,0,0,100,0,0,0,0
12,2009,6,8,15,"HF1",8,0,.05,"USA"
" PROD"," PRIC","  INC","  HFO","  HFC","  HFG","  HFA","  "," DEDT"," INDE"," RATE"," GROS","  LCF","  NET","LCFCLNG"
0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0
0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0
0,0,0,.25,0,8.000001E-09,0,0,.25,-.25,-100,.25,0,.25,0
0,0,0,.5,0,1.6E-08,0,0,.5,-.5,-100,.5,0,.5,0
0,0,0,.75,0,2.4E-08,0,0,.75,-.75,-100,.75,0,.75,0
0,0,0,.5,0,1.6E-08,0,0,.5,-.5,-100,.5,0,.5,0
0,0,0,.25,0,8.000001E-09,0,0,.25,-.25,-100,.25,0,.25,0
0,0,0,.1,0,4E-09,0,0,.1,-.1,-100,.1,0,.1,0
12,2009,7,8,15,"HF2",8,0,.05,"USA"
" PROD"," PRIC","  INC","  ","  ","  ","  ","  "," DEDT"," INDE"," RATE"," GROS","  LCF","  NET","LCFCLNG"
0,0,1,0,0,0,0,0,0,1,5,.05,0,.05,0
0,0,1,0,0,0,0,0,0,1,5,.05,0,.05,0
0,0,1,0,0,0,0,0,0,1,10,.1,0,.1,0
0,0,1,0,0,0,0,0,0,1,10,.1,0,.1,0
0,0,1,0,0,0,0,0,0,1,10,.1,0,.1,0
0,0,1,0,0,0,0,0,0,1,10,.1,0,.1,0
0,0,1,0,0,0,0,0,0,1,10,.1,0,.1,0
0,0,1,0,0,0,0,0,0,1,10,.1,0,.1,0
